 ,Area,Mean,Min,Max,X,Y
1,0,160,160,160,1446.000,879.000
2,0,147,147,147,2171.500,731.500
3,0,213,213,213,1703.500,1338.500
4,0,131,131,131,2240.500,1299.500
5,0,160,160,160,2189.500,1353.500
6,0,108,108,108,2135.500,1821.500
7,0,140,140,140,2138.500,1956.500
8,0,91,91,91,2114.500,2049.500
9,0,118,118,118,1391.500,1731.500
10,0,207,207,207,2147.500,1374.500
11,0,157,157,157,2237.500,1620.500
12,0,221,221,221,2035.833,1809.833
13,0,255,255,255,2203.833,1571.167
14,0,229,229,229,1910.500,1580.500
