 ,Area,Mean,Min,Max,X,Y
1,0,191,191,191,1517.000,1250.000
2,0,153,153,153,2387.255,1075.302
3,0,220,220,220,1809.996,1761.891
4,0,139,139,139,2417.500,1694.500
5,0,168,168,168,2395.500,1756.500
6,0,160,160,160,2377.500,2293.500
7,0,138,138,138,2411.500,2421.500
8,0,173,173,173,2401.500,2475.500
9,0,82,82,82,1526.500,2162.500
10,0,202,202,202,2361.500,1747.500
11,0,218,218,218,2493.500,2003.500
12,0,237,237,237,2321.500,2259.500
13,0,242,242,242,2465.500,1999.500
14,0,255,255,255,2117.500,2017.500
