 	Area	Mean	Min	Max	X	Y
1	0	174	174	174	1221.000	615.000
2	0	160	160	160	1967.500	482.500
3	0	181	181	181	1472.500	1103.500
4	0	153	153	153	2090.500	1085.500
5	0	183	183	183	2009.500	1133.500
6	0	166	166	166	1907.500	1556.500
7	0	169	169	169	1931.500	1724.500
8	0	165	165	165	1901.500	1772.500
9	0	102	102	102	1160.500	1445.500
10	0	183	183	183	2027.500	1397.500
11	0	223	223	223	1952.500	1169.500
12	0	211	211	211	1820.500	1562.500
13	0	230	230	230	1976.500	1349.500
14	0	203	203	203	1625.500	1310.500
