 	Area	Mean	Min	Max	X	Y
1	0	191	191	191	1376.500	866.500
2	0	119	119	119	2111.500	680.500
3	0	205	205	205	1664.500	1334.500
4	0	111	111	111	2252.500	1268.500
5	0	133	133	133	2177.500	1322.500
6	0	132	132	132	2108.500	1736.500
7	0	114	114	114	2117.500	1907.500
8	0	90	90	90	2087.500	1952.500
9	0	114	114	114	1370.500	1664.500
10	0	204	204	204	2108.500	1340.500
11	0	178	178	178	2285.500	1538.500
12	0	223	223	223	2057.500	1721.500
13	0	212	212	212	2219.500	1523.500
14	0	217	217	217	1916.500	1538.500
