 ,Area,Mean,Min,Max,X,Y
1,0,196,196,196,1826.000,1160.000
2,0,168,168,168,2734.500,985.500
3,0,240,240,240,2125.500,1708.500
4,0,152,152,152,2797.500,1735.500
5,0,161,161,161,2758.500,1801.500
6,0,159,159,159,2740.500,2296.500
7,0,160,160,160,2779.500,2452.500
8,0,158,158,158,2764.500,2542.500
9,0,138,138,138,1810.500,2161.500
10,0,201,201,201,2665.500,1798.500
11,0,174,174,174,2800.500,2095.500
12,0,211,211,211,2650.500,2290.500
13,0,251,251,251,2764.500,2038.500
14,0,203,203,203,2407.500,2035.500
