 ,Area,Mean,Min,Max,X,Y
1,0,192,192,192,1467.000,1251.000
2,0,222,222,222,2273.500,1076.500
3,0,209,209,209,1769.500,1727.500
4,0,119,119,119,2387.500,1703.500
5,0,121,121,121,2339.500,1733.500
6,0,153,153,153,2276.500,2207.500
7,0,144,144,144,2276.500,2297.500
8,0,175,175,175,2261.500,2375.500
9,0,57,57,57,1457.500,2072.500
10,0,158,158,158,2246.500,1700.500
11,0,183,183,183,2381.500,2030.500
12,0,194,194,194,2177.500,2219.500
13,0,218,218,218,2330.500,1970.500
14,0,147,147,147,1997.500,1940.500
