 ,Area,Mean,Min,Max,X,Y
1,0,136,136,136,561.000,424.000
2,0,124,124,124,798.167,359.500
3,0,197,197,197,642.167,566.167
4,0,127,127,127,817.500,547.833
5,0,126,126,126,810.167,561.167
6,0,105,105,105,797.500,720.500
7,0,102,102,102,797.500,760.500
8,0,122,122,122,787.500,783.167
9,0,54,54,54,578.167,681.167
10,0,169,169,169,791.500,551.833
11,0,122,122,122,839.500,646.167
12,0,203,203,203,757.833,734.167
13,0,199,199,199,833.500,645.167
14,0,94,94,94,708.167,630.833
15,0,142,142,142,559.000,424.500
16,0,162,162,162,796.167,360.000
17,0,190,190,190,640.167,566.667
18,0,129,129,129,815.500,548.333
19,0,136,136,136,808.167,561.667
20,0,122,122,122,795.500,721.000
21,0,121,121,121,795.500,761.000
22,0,116,116,116,785.500,783.667
23,0,43,43,43,576.167,681.667
24,0,182,182,182,789.500,552.333
25,0,128,128,128,837.500,646.667
26,0,210,210,210,755.833,734.667
27,0,187,187,187,831.500,645.667
28,0,98,98,98,706.167,631.333
