 	Area	Mean	Min	Max	X	Y
1	0	146	146	146	1116.000	732.000
2	0	136	136	136	1868.500	569.500
3	0	151	151	151	1394.500	1118.500
4	0	130	130	130	1991.500	1082.500
5	0	175	175	175	1889.500	1157.500
6	0	149	149	149	1835.500	1505.500
7	0	105	105	105	1871.500	1652.500
8	0	142	142	142	1844.500	1691.500
9	0	121	121	121	1070.500	1400.500
10	0	163	163	163	1895.500	1133.500
11	0	178	178	178	1919.500	1385.500
12	0	181	181	181	1763.500	1523.500
13	0	217	217	217	1874.500	1322.500
14	0	191	191	191	1595.500	1319.500
