 ,Area,Mean,Min,Max,X,Y
1,0,160,160,160,1104.000,896.000
2,0,164,164,164,1843.500,775.500
3,0,199,199,199,1359.500,1335.500
4,0,121,121,121,1909.500,1339.500
5,0,126,126,126,1873.500,1383.500
6,0,100,100,100,1837.500,1775.500
7,0,127,127,127,1833.500,1891.500
8,0,104,104,104,1831.500,1933.500
9,0,90,90,90,1068.500,1695.500
10,0,163,163,163,1820.500,1387.500
11,0,118,118,118,1932.500,1623.500
12,0,168,168,168,1750.500,1813.500
13,0,234,234,234,1894.500,1567.500
14,0,207,207,207,1554.500,1577.500
