 ,Area,Mean,Min,Max,X,Y
1,0,148,148,148,1486.000,951.000
2,0,100,100,100,2251.699,762.433
3,0,126,126,126,1683.019,1393.048
4,0,175,175,175,2296.743,1319.852
5,0,169,169,169,2257.330,1457.799
6,0,141,141,141,2203.840,1837.858
7,0,156,156,156,2240.438,2015.219
8,0,128,128,128,2217.917,2068.708
9,0,118,118,118,1418.386,1826.597
10,0,217,217,217,2158.796,1424.016
11,0,187,187,187,2271.406,1666.128
12,0,210,210,210,2130.644,1874.456
13,0,236,236,236,2220.732,1626.714
14,0,255,255,255,1989.881,1635.160
