 ,Area,Mean,Min,Max,X,Y
1,0,158,158,158,1413.000,945.000
2,0,140,140,140,2201.500,972.500
3,0,194,194,194,1613.500,1449.500
4,0,118,118,118,2227.500,1493.500
5,0,113,113,113,2191.500,1541.500
6,0,177,177,177,2225.500,1973.500
7,0,182,182,182,2239.500,2167.500
8,0,157,157,157,2169.500,2241.500
9,0,111,111,111,1357.500,1835.500
10,0,151,151,151,2155.500,1575.500
11,0,214,214,214,2253.500,1785.500
12,0,221,221,221,2185.500,1965.500
13,0,121,121,121,2289.500,1779.500
14,0,192,192,192,1979.500,1755.500
