 ,Area,Mean,Min,Max,X,Y
1,0,165,165,165,1745.000,1198.000
2,0,223,223,223,2648.377,931.600
3,0,207,207,207,2115.748,1716.277
4,0,124,124,124,2786.290,1649.698
5,0,156,156,156,2711.500,1712.500
6,0,152,152,152,2660.500,2351.500
7,0,139,139,139,2669.500,2432.500
8,0,231,231,231,2609.500,2543.500
9,0,129,129,129,1781.500,2251.500
10,0,191,191,191,2637.500,1699.500
11,0,120,120,120,2777.500,2043.500
12,0,197,197,197,2573.500,2287.500
13,0,247,247,247,2725.500,1983.500
14,0,224,224,224,2311.500,1986.833
