 ,Area,Mean,Min,Max,X,Y
1,0,201,201,201,1446.000,1298.000
2,0,198,198,198,2195.500,1123.500
3,0,219,219,219,1727.500,1720.500
4,0,133,133,133,2291.500,1669.500
5,0,182,182,182,2237.500,1747.500
6,0,130,130,130,2198.500,2242.500
7,0,102,102,102,2198.500,2374.500
8,0,91,91,91,2171.500,2434.500
9,0,126,126,126,1400.500,2089.500
10,0,222,222,222,2171.500,1738.500
11,0,174,174,174,2279.500,2032.500
12,0,193,193,193,2126.500,2280.500
13,0,220,220,220,2248.500,1996.500
14,0,186,186,186,1898.500,1942.500
