 ,Area,Mean,Min,Max,X,Y
1,0,130,130,130,1470.000,927.000
2,0,173,173,173,2219.500,749.500
3,0,198,198,198,1725.500,1280.500
4,0,80,80,80,2323.500,1338.500
5,0,180,180,180,2167.500,1424.500
6,0,181,181,181,2217.500,1767.500
7,0,139,139,139,2291.500,1979.500
8,0,121,121,121,2221.500,2059.500
9,0,165,165,165,1471.500,1829.500
10,0,190,190,190,2119.500,1369.500
11,0,158,158,158,2193.500,1565.500
12,0,237,237,237,2153.500,1823.500
13,0,104,104,104,2219.500,1579.500
14,0,128,128,128,1973.500,1605.500
