 	Area	Mean	Min	Max	X	Y
1	0	200	200	200	1751.500	1203.500
2	0	191	191	191	2599.500	1043.500
3	0	220	220	220	1987.500	1743.500
4	0	115	115	115	2727.500	1671.500
5	0	172	172	172	2679.500	1755.500
6	0	171	171	171	2623.500	2227.500
7	0	167	167	167	2667.500	2447.500
8	0	160	160	160	2639.500	2539.500
9	0	85	85	85	1707.500	2043.500
10	0	227	227	227	2595.500	1791.500
11	0	212	212	212	2731.500	2067.500
12	0	232	232	232	2523.500	2259.500
13	0	245	245	245	2687.500	2023.500
14	0	190	190	190	2287.500	2007.500
