 	Area	Mean	Min	Max	X	Y
1	0	105	105	105	1319.000	779.000
2	0	93	93	93	2113.629	531.087
3	0	177	177	177	1661.474	1252.091
4	0	150	150	150	2180.841	1132.942
5	0	128	128	128	2202.227	1276.532
6	0	153	153	153	2171.676	1676.750
7	0	163	163	163	2226.668	1899.772
8	0	159	159	159	2190.006	1939.488
9	0	113	113	113	1340.689	1603.427
10	0	166	166	166	2144.180	1270.421
11	0	145	145	145	2275.549	1493.444
12	0	201	201	201	2122.794	1701.190
13	0	217	217	217	2238.888	1478.168
14	0	154	154	154	1829.505	1484.278
