 ,Area,Mean,Min,Max,X,Y
1,0,135,135,135,1252.000,756.000
2,0,107,107,107,1919.500,655.500
3,0,138,138,138,1471.500,1175.500
4,0,136,136,136,1959.500,1163.500
5,0,170,170,170,1927.500,1223.500
6,0,130,130,130,1915.500,1551.500
7,0,126,126,126,1947.500,1679.500
8,0,108,108,108,1895.500,1731.500
9,0,82,82,82,1151.500,1431.500
10,0,173,173,173,1855.500,1171.500
11,0,139,139,139,1967.500,1411.500
12,0,171,171,171,1815.500,1571.500
13,0,207,207,207,1915.500,1359.500
14,0,189,189,189,1671.500,1343.500
