 ,Area,Mean,Min,Max,X,Y
1,0,200,200,200,1863.500,1226.500
2,0,163,163,163,2706.500,1013.500
3,0,202,202,202,2049.500,1751.500
4,0,109,109,109,2751.500,1755.500
5,0,134,134,134,2663.500,1815.500
6,0,170,170,170,2715.500,2408.500
7,0,180,180,180,2754.500,2537.500
8,0,202,202,202,2679.500,2663.500
9,0,96,96,96,1743.500,2211.500
10,0,180,180,180,2586.500,1817.500
11,0,156,156,156,2721.500,2123.500
12,0,240,240,240,2697.500,2141.500
13,0,215,215,215,2646.500,2429.500
14,0,199,199,199,2391.500,2093.500
