 ,Area,Mean,Min,Max,X,Y
1,0,166,166,166,1415.000,892.000
2,0,134,134,134,2110.500,783.500
3,0,240,240,240,1678.500,1286.500
4,0,114,114,114,2167.500,1298.500
5,0,123,123,123,2125.500,1370.500
6,0,134,134,134,2104.500,1782.500
7,0,160,160,160,2122.500,1875.500
8,0,164,164,164,2116.500,1923.500
9,0,79,79,79,1363.500,1593.500
10,0,173,173,173,2083.500,1359.500
11,0,108,108,108,2197.500,1602.500
12,0,171,171,171,2050.500,1785.500
13,0,211,211,211,2137.500,1563.500
14,0,221,221,221,1822.500,1557.500
