 ,Area,Mean,Min,Max,X,Y
1,0,178,178,178,1172.000,1144.000
2,0,156,156,156,1699.500,923.500
3,0,180,180,180,1355.500,1367.500
4,0,159,159,159,1807.500,1319.500
5,0,175,175,175,1771.500,1391.500
6,0,172,172,172,1755.500,1707.500
7,0,163,163,163,1755.500,1791.500
8,0,178,178,178,1727.500,1835.500
9,0,102,102,102,1159.500,1667.500
10,0,205,205,205,1699.500,1339.500
11,0,178,178,178,1811.500,1551.500
12,0,208,208,208,1720.500,1723.500
13,0,209,209,209,1796.500,1557.500
14,0,181,181,181,1542.500,1533.500
