 	Area	Mean	Min	Max	X	Y
1	0	176	176	176	1784.000	1272.000
2	0	144	144	144	2655.500	1051.500
3	0	183	183	183	2063.500	1763.500
4	0	154	154	154	2803.500	1747.500
5	0	165	165	165	2711.500	1819.500
6	0	159	159	159	2643.500	2251.500
7	0	119	119	119	2699.500	2455.500
8	0	137	137	137	2647.500	2519.500
9	0	138	138	138	1739.500	2135.500
10	0	207	207	207	2643.500	1759.500
11	0	193	193	193	2735.500	2071.500
12	0	210	210	210	2543.500	2295.500
13	0	233	233	233	2683.500	2031.500
14	0	210	210	210	2335.500	2003.500
