 ,Area,Mean,Min,Max,X,Y
1,0,181,181,181,1785.000,1257.000
2,0,111,111,111,2605.524,960.946
3,0,207,207,207,2038.054,1701.910
4,0,119,119,119,2721.187,1644.078
5,0,169,169,169,2638.054,1785.042
6,0,139,139,139,2609.139,2341.669
7,0,112,112,112,2601.910,2515.163
8,0,125,125,125,2558.536,2547.693
9,0,127,127,127,1842.874,2106.729
10,0,218,218,218,2511.548,1723.596
11,0,141,141,141,2713.958,2034.440
12,0,221,221,221,2511.548,2374.199
13,0,133,133,133,2695.885,2074.199
14,0,209,209,209,2359.741,2001.910
