 ,Area,Mean,Min,Max,X,Y
1,0,201,201,201,1504.000,936.000
2,0,233,233,233,2259.500,775.500
3,0,231,231,231,1751.500,1459.500
4,0,140,140,140,2379.500,1379.500
5,0,116,116,116,2311.500,1475.500
6,0,76,76,76,2319.500,1903.500
7,0,113,113,113,2351.500,2059.500
8,0,163,163,163,2331.500,2123.500
9,0,111,111,111,1395.500,2047.500
10,0,135,135,135,2271.500,1497.500
11,0,137,137,137,2385.500,1749.500
12,0,159,159,159,2253.500,1953.500
13,0,232,232,232,2357.500,1697.500
14,0,206,206,206,2045.500,1741.500
