 ,Area,Mean,Min,Max,X,Y
1,0,161,161,161,665.000,845.000
2,0,145,145,145,1372.530,731.987
3,0,162,162,162,860.708,1222.355
4,0,143,143,143,1351.076,1277.521
5,0,147,147,147,1314.299,1311.234
6,0,144,144,144,1249.938,1718.852
7,0,149,149,149,1253.003,1832.250
8,0,149,149,149,1228.484,1869.027
9,0,126,126,126,578.747,1568.677
10,0,154,154,154,1274.456,1292.845
11,0,143,143,143,1363.335,1541.094
12,0,164,164,164,1167.188,1731.111
13,0,172,172,172,1329.623,1531.899
14,0,170,170,170,1038.467,1485.927
