 ,Area,Mean,Min,Max,X,Y
1,0,211,211,211,1753.000,1326.000
2,0,159,159,159,2594.681,1181.428
3,0,175,175,175,1987.452,1777.813
4,0,133,133,133,2685.042,1785.042
5,0,170,170,170,2619.982,1832.030
6,0,133,133,133,2601.910,2222.392
7,0,114,114,114,2623.596,2374.199
8,0,109,109,109,2576.608,2424.801
9,0,86,86,86,1766.970,2168.175
10,0,213,213,213,2504.319,1777.813
11,0,129,129,129,2670.584,2056.126
12,0,190,190,190,2511.548,2247.693
13,0,255,255,255,2612.753,1991.066
14,0,178,178,178,2298.295,1983.837
