 	Area	Mean	Min	Max	X	Y
1	0	154	154	154	1239.000	687.000
2	0	142	142	142	1970.500	530.500
3	0	204	204	204	1559.500	1109.500
4	0	124	124	124	2063.500	1070.500
5	0	177	177	177	2000.500	1130.500
6	0	136	136	136	1943.500	1517.500
7	0	120	120	120	1925.500	1664.500
8	0	100	100	100	1883.500	1730.500
9	0	71	71	71	1199.500	1394.500
10	0	177	177	177	1922.500	1109.500
11	0	170	170	170	2012.500	1337.500
12	0	192	192	192	1874.500	1547.500
13	0	200	200	200	1982.500	1343.500
14	0	185	185	185	1661.500	1301.500
