 ,Area,Mean,Min,Max,X,Y
1,0,173,173,173,1342.500,1100.500
2,0,173,173,173,2238.500,889.500
3,0,210,210,210,1715.500,1704.500
4,0,146,146,146,2479.500,1588.500
5,0,157,157,157,2453.500,1696.500
6,0,220,220,220,2469.500,2567.500
7,0,198,198,198,2481.500,2677.500
8,0,224,224,224,2360.500,2750.500
9,0,58,58,58,1467.500,2311.500
10,0,212,212,212,2441.500,1793.500
11,0,191,191,191,2618.500,2066.500
12,0,216,216,216,2456.500,2417.500
13,0,226,226,226,2618.500,2132.500
14,0,219,219,219,2039.500,2063.500
