 	Area	Mean	Min	Max	X	Y
1	0	160	160	160	1221.000	792.000
2	0	156	156	156	1994.500	686.500
3	0	179	179	179	1451.500	1223.500
4	0	108	108	108	2057.500	1256.500
5	0	129	129	129	1994.500	1316.500
6	0	111	111	111	1895.500	1718.500
7	0	97	97	97	1892.500	1847.500
8	0	103	103	103	1844.500	1910.500
9	0	112	112	112	1046.500	1562.500
10	0	192	192	192	1916.500	1310.500
11	0	211	211	211	2015.500	1541.500
12	0	188	188	188	1805.500	1721.500
13	0	206	206	206	1970.500	1523.500
14	0	209	209	209	1661.500	1466.500
