 ,Area,Mean,Min,Max,X,Y
1,0,158,158,158,1414.000,915.000
2,0,108,108,108,2111.500,778.500
3,0,246,246,246,1693.500,1347.500
4,0,107,107,107,2191.500,1331.500
5,0,122,122,122,2155.500,1373.500
6,0,159,159,159,2119.500,1731.500
7,0,125,125,125,2149.500,1849.500
8,0,139,139,139,2141.500,1897.500
9,0,86,86,86,1385.500,1659.500
10,0,184,184,184,2088.833,1346.500
11,0,183,183,183,2190.167,1587.833
12,0,204,204,204,2043.500,1783.833
13,0,221,221,221,2160.833,1566.500
14,0,161,161,161,1890.167,1542.500
