 ,Area,Mean,Min,Max,X,Y
1,0,179,179,179,1878.000,1275.000
2,0,220,220,220,2792.500,1019.500
3,0,222,222,222,2147.500,1808.500
4,0,156,156,156,2906.500,1751.500
5,0,130,130,130,2858.500,1796.500
6,0,164,164,164,2816.500,2345.500
7,0,160,160,160,2873.500,2495.500
8,0,208,208,208,2873.500,2582.500
9,0,188,188,188,1766.500,2378.500
10,0,205,205,205,2772.500,1851.500
11,0,180,180,180,2878.500,2123.500
12,0,218,218,218,2760.500,2335.500
13,0,253,253,253,2826.500,2091.500
14,0,255,255,255,2496.500,2107.500
