 	Area	Mean	Min	Max	X	Y
1	0	169	169	169	1209.000	594.000
2	0	128	128	128	1973.500	458.500
3	0	168	168	168	1454.500	1073.500
4	0	138	138	138	2057.500	1019.500
5	0	145	145	145	2018.500	1097.500
6	0	137	137	137	1949.500	1535.500
7	0	115	115	115	1961.500	1721.500
8	0	100	100	100	1922.500	1802.500
9	0	72	72	72	1169.500	1460.500
10	0	178	178	178	1958.500	1115.500
11	0	178	178	178	2093.500	1373.500
12	0	201	201	201	1892.500	1544.500
13	0	207	207	207	2033.500	1358.500
14	0	226	226	226	1748.500	1361.500
