 	Area	Mean	Min	Max	X	Y
1	0	180	180	180	1296.000	624.000
2	0	190	190	190	2042.500	488.500
3	0	202	202	202	1487.500	1067.500
4	0	144	144	144	2111.500	1055.500
5	0	175	175	175	2057.500	1103.500
6	0	180	180	180	1988.500	1547.500
7	0	137	137	137	1982.500	1718.500
8	0	188	188	188	1946.500	1799.500
9	0	142	142	142	1199.500	1370.500
10	0	202	202	202	1994.500	1145.500
11	0	218	218	218	2087.500	1388.500
12	0	215	215	215	1919.500	1565.500
13	0	221	221	221	2036.500	1373.500
14	0	216	216	216	1727.500	1322.500
