 	Area	Mean	Min	Max	X	Y
1	0	206	206	206	553.000	935.000
2	0	134	134	134	1263.443	744.100
3	0	206	206	206	819.186	1347.914
4	0	125	125	125	1363.557	1260.314
5	0	130	130	130	1344.786	1379.200
6	0	129	129	129	1310.371	1764.014
7	0	149	149	149	1372.943	1986.143
8	0	132	132	132	1351.043	2048.714
9	0	164	164	164	547.000	1732.729
10	0	189	189	189	1297.857	1347.914
11	0	106	106	106	1385.457	1610.714
12	0	210	210	210	1257.186	1798.429
13	0	216	216	216	1313.500	1554.400
14	0	203	203	203	1088.243	1598.200
