 	Area	Mean	Min	Max	X	Y
1	0	146	146	146	1209.000	753.000
2	0	101	101	101	1892.500	557.500
3	0	158	158	158	1457.500	1073.500
4	0	143	143	143	1973.500	1043.500
5	0	186	186	186	1910.500	1106.500
6	0	166	166	166	1832.500	1427.500
7	0	133	133	133	1847.500	1547.500
8	0	150	150	150	1835.500	1616.500
9	0	82	82	82	1223.500	1379.500
10	0	203	203	203	1967.500	1295.500
11	0	198	198	198	1820.500	1094.500
12	0	189	189	189	1703.500	1502.500
13	0	213	213	213	1871.500	1280.500
14	0	182	182	182	1610.500	1256.500
