 ,Area,Mean,Min,Max,X,Y
1,0,182,182,182,1230.500,642.500
2,0,133,133,133,1986.500,482.167
3,0,205,205,205,1439.833,1129.833
4,0,158,158,158,2186.500,1043.500
5,0,192,192,192,2090.500,1120.833
6,0,196,196,196,2082.500,1551.167
7,0,188,188,188,2098.500,1672.500
8,0,198,198,198,2031.500,1754.500
9,0,102,102,102,1277.500,1478.500
10,0,216,216,216,1973.167,1109.167
11,0,214,214,214,2157.167,1350.500
12,0,225,225,225,2045.500,1525.500
13,0,229,229,229,2127.833,1335.833
14,0,222,222,222,1837.500,1337.500
