 ,Area,Mean,Min,Max,X,Y
1,0,134,134,134,1194.000,822.000
2,0,140,140,140,1650.500,712.167
3,0,209,209,209,1382.500,1088.500
4,0,119,119,119,1718.500,1081.833
5,0,138,138,138,1691.833,1120.500
6,0,141,141,141,1673.167,1407.167
7,0,114,114,114,1683.833,1461.833
8,0,113,113,113,1671.833,1503.167
9,0,49,49,49,1201.167,1327.167
10,0,234,234,234,1646.833,1125.167
11,0,149,149,149,1761.167,1263.167
12,0,209,209,209,1596.167,1444.500
13,0,199,199,199,1706.833,1252.500
14,0,214,214,214,1491.833,1234.833
